DATE,PAYEMS,% chg
01-01-1980,90800,
01-02-1980,90883,-0.091409692
01-03-1980,90994,-0.122135053
01-04-1980,90849,0.159351166
01-05-1980,90420,0.472212132
01-06-1980,90101,0.352798054
01-07-1980,89840,0.28967492
01-08-1980,90099,-0.288290294
01-09-1980,90213,-0.126527486
01-10-1980,90490,-0.30705109
01-11-1980,90747,-0.284009283
01-12-1980,90943,-0.215985101
01-01-1981,91033,-0.098963087
01-02-1981,91105,-0.079092197
01-03-1981,91210,-0.115251633
01-04-1981,91283,-0.080035084
01-05-1981,91296,-0.014241425
01-06-1981,91490,-0.212495619
01-07-1981,91601,-0.121324735
01-08-1981,91565,0.039300881
01-09-1981,91477,0.096106591
01-10-1981,91380,0.106037583
01-11-1981,91171,0.228715255
01-12-1981,90895,0.302727841
01-01-1982,90565,0.363056274
01-02-1982,90563,0.002208359
01-03-1982,90434,0.142442278
01-04-1982,90150,0.314041179
01-05-1982,90107,0.047698281
01-06-1982,89865,0.268569589
01-07-1982,89521,0.382796417
01-08-1982,89363,0.176494901
01-09-1982,89183,0.201425646
01-10-1982,88907,0.309476021
01-11-1982,88786,0.13609727
01-12-1982,88771,0.016894555
01-01-1983,88990,-0.246702189
01-02-1983,88917,0.082031689
01-03-1983,89090,-0.194563469
01-04-1983,89364,-0.307554159
01-05-1983,89644,-0.313325276
01-06-1983,90021,-0.420552407
01-07-1983,90437,-0.462114396
01-08-1983,90129,0.340568573
01-09-1983,91247,-1.240444252
01-10-1983,91520,-0.299187919
01-11-1983,91875,-0.387893357
01-12-1983,92230,-0.386394558
01-01-1984,92673,-0.480320937
01-02-1984,93157,-0.522266464
01-03-1984,93429,-0.291980205
01-04-1984,93792,-0.388530328
01-05-1984,94098,-0.326253838
01-06-1984,94479,-0.404897022
01-07-1984,94789,-0.328115243
01-08-1984,95032,-0.25635886
01-09-1984,95344,-0.328310464
01-10-1984,95629,-0.298917604
01-11-1984,95982,-0.369134886
01-12-1984,96107,-0.130232752
01-01-1985,96372,-0.275734338
01-02-1985,96503,-0.135931598
01-03-1985,96842,-0.351284416
01-04-1985,97038,-0.202391524
01-05-1985,97312,-0.28236361
01-06-1985,97459,-0.151060506
01-07-1985,97648,-0.193927703
01-08-1985,97840,-0.196624611
01-09-1985,98045,-0.209525756
01-10-1985,98233,-0.191748687
01-11-1985,98443,-0.213777447
01-12-1985,98609,-0.168625499
01-01-1986,98732,-0.124735065
01-02-1986,98847,-0.116476927
01-03-1986,98934,-0.088014811
01-04-1986,99121,-0.189014899
01-05-1986,99248,-0.12812623
01-06-1986,99155,0.093704659
01-07-1986,99473,-0.320709999
01-08-1986,99588,-0.115609261
01-09-1986,99934,-0.347431417
01-10-1986,100121,-0.187123502
01-11-1986,100308,-0.186774003
01-12-1986,100509,-0.200382821
01-01-1987,100678,-0.168144146
01-02-1987,100919,-0.239377024
01-03-1987,101164,-0.242768953
01-04-1987,101499,-0.331145467
01-05-1987,101728,-0.225617986
01-06-1987,101900,-0.169078327
01-07-1987,102247,-0.340529931
01-08-1987,102420,-0.169198118
01-09-1987,102647,-0.221636399
01-10-1987,103138,-0.478338383
01-11-1987,103372,-0.22688049
01-12-1987,103661,-0.279572805
01-01-1988,103753,-0.088750832
01-02-1988,104214,-0.444324501
01-03-1988,104489,-0.263880093
01-04-1988,104732,-0.232560365
01-05-1988,104962,-0.219608143
01-06-1988,105326,-0.346792172
01-07-1988,105550,-0.212673034
01-08-1988,105674,-0.117479867
01-09-1988,106013,-0.320797926
01-10-1988,106276,-0.248082782
01-11-1988,106617,-0.320862659
01-12-1988,106898,-0.26356022
01-01-1989,107161,-0.246028925
01-02-1989,107427,-0.248224634
01-03-1989,107621,-0.180587748
01-04-1989,107791,-0.157961736
01-05-1989,107913,-0.113181991
01-06-1989,108027,-0.105640655
01-07-1989,108069,-0.038879169
01-08-1989,108120,-0.047192072
01-09-1989,108369,-0.230299667
01-10-1989,108476,-0.098736724
01-11-1989,108752,-0.254434161
01-12-1989,108836,-0.077239959
01-01-1990,109199,-0.333529347
