date,V122667775,V122667780,V122667781,V122667786,V122667787,V122667792,V122667793,V122667798,V122667799,V122667803,V122667809,V122667816,V122667821
2013-01-01,3.23,3.2,3.14,3.18,,,,,,5.75,,3.17,
2013-02-01,3.19,3.17,3.12,3.16,,,,,,5.65,,3.15,
2013-03-01,3.13,3.09,3.07,3.07,,,,,,5.62,,3.12,
2013-04-01,3.11,3.03,3.03,3.01,,,,,,5.39,,3.26,
2013-05-01,3.09,3,3.01,2.99,,,,,,5.42,,3.33,
2013-06-01,3.08,3,3,2.98,,,,,,5.25,,3.14,
2013-07-01,3.14,3.08,3.07,3.07,,,,,,5.38,,3.45,
2013-08-01,3.22,3.22,3.12,3.19,,,,,,5.47,,3.16,
2013-09-01,3.31,3.39,3.18,3.36,,,,,,5.47,,3.35,
2013-10-01,3.32,3.5,3.21,3.53,,,,,,5.58,,3.4,
2013-11-01,3.3,3.56,3.19,3.65,,,,,,5.63,,3.42,
2013-12-01,3.27,3.5,3.16,3.67,,,,,,5.51,,3.11,
2014-01-01,3.28,3.55,3.15,3.66,,,,,,5.78,,3.1,
2014-02-01,3.22,3.45,3.12,3.57,,,,,,5.64,,3.06,
2014-03-01,3.2,3.34,3.08,3.42,,,,,,5.69,,2.97,
2014-04-01,3.16,3.18,3.04,3.21,,,,,,5.49,,3.06,
2014-05-01,3.17,3.17,3.04,3.14,,,,,,5.35,,3.05,
2014-06-01,3.16,3.09,3.01,3.11,,,,,,5.4,,3.05,
2014-07-01,3.13,3.04,2.97,3.09,,,,,,5.36,,3.04,
2014-08-01,3.06,3.02,2.96,3.09,,,,,,5.42,,3.07,
2014-09-01,3.04,3.01,2.94,3.09,,,,,,5.32,,3.01,
2014-10-01,3.01,3.03,2.93,3.07,,,,,,5.46,,3.06,
2014-11-01,3.04,3.05,2.96,3.11,,,,,,5.47,,2.99,
2014-12-01,3.05,3.05,2.96,3.1,,,,,,5.46,,3.03,
2015-01-01,3.04,3.06,2.91,3.09,,,,,,5.52,,2.89,
2015-02-01,2.87,2.82,2.8,2.96,,,,,,5.43,,2.84,
2015-03-01,2.84,2.82,2.74,2.87,,,,,,5.41,,2.78,
2015-04-01,2.82,2.76,2.69,2.8,,,,,,5.2,,2.84,
2015-05-01,2.8,2.75,2.67,2.75,,,,,,5.2,,2.9,
2015-06-01,2.78,2.74,2.65,2.75,,,,,,5.18,,2.83,
2015-07-01,2.71,2.71,2.58,2.74,,,,,,5.09,,2.72,
2015-08-01,2.65,2.69,2.55,2.76,,,,,,5,,2.6,
2015-09-01,2.64,2.7,2.54,2.76,,,,,,5.06,,2.61,
2015-10-01,2.66,2.7,2.54,2.76,,,,,,5.15,,2.65,
2015-11-01,2.71,2.72,2.58,2.77,,,,,,5.16,,2.67,
2015-12-01,2.69,2.76,2.64,2.82,,,,,,5.24,,2.73,
2016-01-01,2.82,2.78,2.68,2.86,,,,,,5.22,,2.7,
2016-02-01,2.88,2.79,2.77,2.93,,,,,,5.19,,2.7,
2016-03-01,2.93,2.78,2.8,2.9,,,,,,5.2,,2.7,
2016-04-01,2.83,2.76,2.72,2.8,,,,,,5,,2.82,
2016-05-01,2.77,2.67,2.67,2.7,,,,,,4.95,,2.77,
2016-06-01,2.75,2.63,2.64,2.63,,,,,,4.87,,2.69,
2016-07-01,2.71,2.58,2.62,2.59,2.99,3.22,2.74,3.03,2.76,4.86,5.83,2.82,3.34
2016-08-01,2.72,2.55,2.61,2.58,2.76,3.01,2.66,2.95,2.7,4.98,5.85,2.89,3.3
2016-09-01,2.71,2.54,2.62,2.57,2.75,2.99,2.65,2.92,2.68,5.03,5.84,2.83,3.3
2016-10-01,2.68,2.54,2.62,2.57,2.74,2.98,2.64,2.91,2.67,5.06,5.83,2.86,3.29
2016-11-01,2.68,2.55,2.61,2.57,2.74,2.96,2.64,2.88,2.69,5.08,5.84,2.83,3.29
2016-12-01,2.69,2.59,2.66,2.63,2.74,2.95,2.64,2.87,2.7,5.16,5.83,2.88,3.28
2017-01-01,2.84,2.71,2.74,2.72,2.73,2.93,2.63,2.86,2.69,5.26,5.94,2.91,3.27
2017-02-01,2.91,2.79,2.79,2.8,2.72,2.92,2.63,2.85,2.64,5.17,5.94,2.94,3.28
2017-03-01,2.91,2.79,2.79,2.82,2.71,2.91,2.63,2.85,2.61,5.07,5.84,2.89,3.27
2017-04-01,2.87,2.74,2.77,2.81,2.68,2.9,2.63,2.84,2.58,4.86,5.87,2.84,3.25
2017-05-01,2.83,2.71,2.72,2.73,2.67,2.9,2.62,2.83,2.54,4.83,5.87,2.86,3.25
2017-06-01,2.8,2.64,2.68,2.68,2.66,2.88,2.62,2.81,2.51,4.77,5.88,2.78,3.22
2017-07-01,2.83,2.64,2.73,2.67,2.7,2.86,2.68,2.79,2.73,4.96,5.99,3.08,3.38
2017-08-01,2.9,2.77,2.81,2.78,2.7,2.85,2.68,2.78,2.73,5.04,5.96,3.16,3.41
2017-09-01,3.12,2.93,2.99,2.95,2.73,2.85,2.74,2.78,2.97,5.38,6.15,3.22,3.51
