DATE,W875RX1,% chg
01-01-1980,4985.4,0
01-02-1980,4965.6,0.397159706
01-03-1980,4948.3,0.348396971
01-04-1980,4938.4,0.20006871
01-05-1980,4917.8,0.417139154
01-06-1980,4926.1,-0.168774655
01-07-1980,4909.9,0.328860559
01-08-1980,4927.8,-0.364569543
01-09-1980,4944.9,-0.347010836
01-10-1980,5002.7,-1.168881069
01-11-1980,5027,-0.485737702
01-12-1980,5048.1,-0.419733439
01-01-1981,5035,0.259503576
01-02-1981,5020.8,0.282025819
01-03-1981,5035.9,-0.300748885
01-04-1981,5032.4,0.069500983
01-05-1981,5048.9,-0.327875368
01-06-1981,5081.1,-0.637762681
01-07-1981,5135,-1.060793923
01-08-1981,5160.8,-0.502434275
01-09-1981,5156.4,0.0852581
01-10-1981,5139.2,0.333566054
01-11-1981,5142.7,-0.068103985
01-12-1981,5140,0.052501604
01-01-1982,5129.6,0.20233463
01-02-1982,5148.5,-0.368449782
01-03-1982,5144.1,0.085461785
01-04-1982,5173.5,-0.571528547
01-05-1982,5174.7,-0.023195129
01-06-1982,5152.6,0.427077898
01-07-1982,5133.2,0.376508947
01-08-1982,5143.3,-0.196758357
01-09-1982,5132.2,0.215814749
01-10-1982,5121.5,0.208487588
01-11-1982,5124.7,-0.062481695
01-12-1982,5153.9,-0.569789451
01-01-1983,5158.8,-0.095073634
01-02-1983,5158.2,0.011630612
01-03-1983,5178.1,-0.385793494
01-04-1983,5186.2,-0.156428033
01-05-1983,5210,-0.458910185
01-06-1983,5224.5,-0.27831094
01-07-1983,5255.4,-0.591444157
01-08-1983,5249.8,0.106557065
01-09-1983,5296,-0.880033525
01-10-1983,5357.9,-1.168806647
01-11-1983,5392.6,-0.6476418
01-12-1983,5443.1,-0.936468494
01-01-1984,5465.7,-0.415204571
01-02-1984,5506.3,-0.742814278
01-03-1984,5542.4,-0.655612662
01-04-1984,5581.4,-0.703666282
01-05-1984,5597.4,-0.286666428
01-06-1984,5644.3,-0.83788902
01-07-1984,5660.9,-0.294102014
01-08-1984,5699.4,-0.68010387
01-09-1984,5751.9,-0.921149595
01-10-1984,5727.6,0.422469097
01-11-1984,5759.2,-0.551714505
01-12-1984,5786.6,-0.475760522
01-01-1985,5780.5,0.105415961
01-02-1985,5784.5,-0.069198166
01-03-1985,5810.9,-0.456392082
01-04-1985,5798.6,0.21167117
01-05-1985,5813.4,-0.255234022
01-06-1985,5837.3,-0.411119139
01-07-1985,5835.2,0.035975537
01-08-1985,5845.1,-0.169659995
01-09-1985,5871.6,-0.4533712
01-10-1985,5901.8,-0.514340214
01-11-1985,5910.7,-0.15080145
01-12-1985,5950.4,-0.671663255
01-01-1986,5932,0.309222909
01-02-1986,5962.7,-0.51753203
01-03-1986,6018.8,-0.940848944
01-04-1986,6038.8,-0.332292151
01-05-1986,6043.6,-0.079485991
01-06-1986,6046.1,-0.041366073
01-07-1986,6067.7,-0.35725509
01-08-1986,6093.3,-0.421906159
01-09-1986,6101.5,-0.13457404
01-10-1986,6105,-0.057362944
01-11-1986,6120.6,-0.255528256
01-12-1986,6146.6,-0.424794955
01-01-1987,6139.8,0.110630267
01-02-1987,6162.3,-0.366461448
01-03-1987,6182,-0.319685832
01-04-1987,6180.2,0.029116791
01-05-1987,6214,-0.546907867
01-06-1987,6218.6,-0.074026392
01-07-1987,6241.7,-0.371466246
01-08-1987,6281.8,-0.642453178
01-09-1987,6288.9,-0.113024929
01-10-1987,6332.7,-0.696465201
01-11-1987,6367.3,-0.546370427
01-12-1987,6443.2,-1.192028018
01-01-1988,6412.5,0.476471319
01-02-1988,6442,-0.460038986
01-03-1988,6446.5,-0.069854083
01-04-1988,6473.3,-0.415729466
01-05-1988,6479.5,-0.095778042
01-06-1988,6504.6,-0.387375569
01-07-1988,6537,-0.498109031
01-08-1988,6553.6,-0.253939116
01-09-1988,6568.5,-0.227355957
01-10-1988,6608.6,-0.610489457
01-11-1988,6607.8,0.012105438
01-12-1988,6644.8,-0.559944308
01-01-1989,6690.7,-0.690765712
01-02-1989,6711.2,-0.306395444
01-03-1989,6739.2,-0.417213017
01-04-1989,6719.1,0.298254986
01-05-1989,6688.6,0.453929842
01-06-1989,6705.2,-0.248183476
01-07-1989,6728.6,-0.348982879
01-08-1989,6739.6,-0.163481259
01-09-1989,6755.9,-0.241854116
01-10-1989,6789,-0.489942125
01-11-1989,6790.7,-0.025040507
01-12-1989,6800.3,-0.141369815
01-01-1990,6798.6,0.024998897
01-02-1990,6822,-0.344188509
01-03-1990,6827,-0.07329229
01-04-1990,6869.5,-0.622528197
01-05-1990,6859.2,0.149938132
01-06-1990,6866.5,-0.106426405
01-07-1990,6891.9,-0.369911891
01-08-1990,6845.6,0.671803131
01-09-1990,6834.3,0.165069534
01-10-1990,6765.2,1.011076482
01-11-1990,6761.4,0.05616981
01-12-1990,6788.2,-0.396367616
01-01-1991,6721,0.989953154
01-02-1991,6718.8,0.032733224
01-03-1991,6721.7,-0.043162469
01-04-1991,6737.2,-0.230596426
01-05-1991,6735.1,0.031170219
01-06-1991,6772.9,-0.561238883
01-07-1991,6756.7,0.239188531
01-08-1991,6766.6,-0.146521231
01-09-1991,6785.1,-0.273401708
01-10-1991,6771.4,0.201913015
01-11-1991,6788.5,-0.252532711
01-12-1991,6834.3,-0.674670398
01-01-1992,6854.2,-0.291178321
