DATE,PAYEMS
01-01-1980,90800
01-02-1980,90883
01-03-1980,90994
01-04-1980,90849
01-05-1980,90420
01-06-1980,90101
01-07-1980,89840
01-08-1980,90099
01-09-1980,90213
01-10-1980,90490
01-11-1980,90747
01-12-1980,90943
01-01-1981,91033
01-02-1981,91105
01-03-1981,91210
01-04-1981,91283
01-05-1981,91296
01-06-1981,91490
01-07-1981,91601
01-08-1981,91565
01-09-1981,91477
01-10-1981,91380
01-11-1981,91171
01-12-1981,90895
01-01-1982,90565
01-02-1982,90563
01-03-1982,90434
01-04-1982,90150
01-05-1982,90107
01-06-1982,89865
01-07-1982,89521
01-08-1982,89363
01-09-1982,89183
01-10-1982,88907
01-11-1982,88786
01-12-1982,88771
01-01-1983,88990
01-02-1983,88917
01-03-1983,89090
01-04-1983,89364
01-05-1983,89644
01-06-1983,90021
01-07-1983,90437
01-08-1983,90129
01-09-1983,91247
01-10-1983,91520
01-11-1983,91875
01-12-1983,92230
01-01-1984,92673
01-02-1984,93157
01-03-1984,93429
01-04-1984,93792
01-05-1984,94098
01-06-1984,94479
01-07-1984,94789
01-08-1984,95032
01-09-1984,95344
01-10-1984,95629
01-11-1984,95982
01-12-1984,96107
01-01-1985,96372
01-02-1985,96503
01-03-1985,96842
01-04-1985,97038
01-05-1985,97312
01-06-1985,97459
01-07-1985,97648
01-08-1985,97840
01-09-1985,98045
01-10-1985,98233
01-11-1985,98443
01-12-1985,98609
01-01-1986,98732
01-02-1986,98847
01-03-1986,98934
01-04-1986,99121
01-05-1986,99248
01-06-1986,99155
01-07-1986,99473
01-08-1986,99588
01-09-1986,99934
01-10-1986,100121
01-11-1986,100308
01-12-1986,100509
01-01-1987,100678
01-02-1987,100919
01-03-1987,101164
01-04-1987,101499
01-05-1987,101728
01-06-1987,101900
01-07-1987,102247
01-08-1987,102420
01-09-1987,102647
01-10-1987,103138
01-11-1987,103372
01-12-1987,103661
01-01-1988,103753
01-02-1988,104214
01-03-1988,104489
01-04-1988,104732
01-05-1988,104962
01-06-1988,105326
01-07-1988,105550
01-08-1988,105674
01-09-1988,106013
01-10-1988,106276
01-11-1988,106617
01-12-1988,106898
01-01-1989,107161
01-02-1989,107427
01-03-1989,107621
01-04-1989,107791
01-05-1989,107913
01-06-1989,108027
01-07-1989,108069
01-08-1989,108120
01-09-1989,108369
01-10-1989,108476
01-11-1989,108752
01-12-1989,108836
01-01-1990,109199
01-02-1990,109435
01-03-1990,109644
01-04-1990,109686
01-05-1990,109839
01-06-1990,109856
01-07-1990,109824
01-08-1990,109616
01-09-1990,109518
01-10-1990,109367
01-11-1990,109214
01-12-1990,109166
01-01-1991,109055
01-02-1991,108734
01-03-1991,108574
01-04-1991,108364
