DATE,W875RX1
01-01-1980,4985.4
01-02-1980,4965.6
01-03-1980,4948.3
01-04-1980,4938.4
01-05-1980,4917.8
01-06-1980,4926.1
01-07-1980,4909.9
01-08-1980,4927.8
01-09-1980,4944.9
01-10-1980,5002.7
01-11-1980,5027
01-12-1980,5048.1
01-01-1981,5035
01-02-1981,5020.8
01-03-1981,5035.9
01-04-1981,5032.4
01-05-1981,5048.9
01-06-1981,5081.1
01-07-1981,5135
01-08-1981,5160.8
01-09-1981,5156.4
01-10-1981,5139.2
01-11-1981,5142.7
01-12-1981,5140
01-01-1982,5129.6
01-02-1982,5148.5
01-03-1982,5144.1
01-04-1982,5173.5
01-05-1982,5174.7
01-06-1982,5152.6
01-07-1982,5133.2
01-08-1982,5143.3
01-09-1982,5132.2
01-10-1982,5121.5
01-11-1982,5124.7
01-12-1982,5153.9
01-01-1983,5158.8
01-02-1983,5158.2
01-03-1983,5178.1
01-04-1983,5186.2
01-05-1983,5210
01-06-1983,5224.5
01-07-1983,5255.4
01-08-1983,5249.8
01-09-1983,5296
01-10-1983,5357.9
01-11-1983,5392.6
01-12-1983,5443.1
01-01-1984,5465.7
01-02-1984,5506.3
01-03-1984,5542.4
01-04-1984,5581.4
01-05-1984,5597.4
01-06-1984,5644.3
01-07-1984,5660.9
01-08-1984,5699.4
01-09-1984,5751.9
01-10-1984,5727.6
01-11-1984,5759.2
01-12-1984,5786.6
01-01-1985,5780.5
01-02-1985,5784.5
01-03-1985,5810.9
01-04-1985,5798.6
01-05-1985,5813.4
01-06-1985,5837.3
01-07-1985,5835.2
01-08-1985,5845.1
01-09-1985,5871.6
01-10-1985,5901.8
01-11-1985,5910.7
01-12-1985,5950.4
01-01-1986,5932
01-02-1986,5962.7
01-03-1986,6018.8
01-04-1986,6038.8
01-05-1986,6043.6
01-06-1986,6046.1
01-07-1986,6067.7
01-08-1986,6093.3
01-09-1986,6101.5
01-10-1986,6105
01-11-1986,6120.6
01-12-1986,6146.6
01-01-1987,6139.8
01-02-1987,6162.3
01-03-1987,6182
01-04-1987,6180.2
01-05-1987,6214
01-06-1987,6218.6
01-07-1987,6241.7
01-08-1987,6281.8
01-09-1987,6288.9
01-10-1987,6332.7
01-11-1987,6367.3
01-12-1987,6443.2
01-01-1988,6412.5
01-02-1988,6442
01-03-1988,6446.5
01-04-1988,6473.3
01-05-1988,6479.5
01-06-1988,6504.6
01-07-1988,6537
01-08-1988,6553.6
01-09-1988,6568.5
01-10-1988,6608.6
01-11-1988,6607.8
01-12-1988,6644.8
01-01-1989,6690.7
01-02-1989,6711.2
01-03-1989,6739.2
01-04-1989,6719.1
01-05-1989,6688.6
01-06-1989,6705.2
01-07-1989,6728.6
01-08-1989,6739.6
01-09-1989,6755.9
01-10-1989,6789
01-11-1989,6790.7
01-12-1989,6800.3
01-01-1990,6798.6
01-02-1990,6822
01-03-1990,6827
01-04-1990,6869.5
01-05-1990,6859.2
01-06-1990,6866.5
01-07-1990,6891.9
01-08-1990,6845.6
01-09-1990,6834.3
01-10-1990,6765.2
01-11-1990,6761.4
01-12-1990,6788.2
01-01-1991,6721
01-02-1991,6718.8
01-03-1991,6721.7
01-04-1991,6737.2
01-05-1991,6735.1
01-06-1991,6772.9
01-07-1991,6756.7
01-08-1991,6766.6
01-09-1991,6785.1
01-10-1991,6771.4
01-11-1991,6788.5
01-12-1991,6834.3
01-01-1992,6854.2
01-02-1992,6892.5
01-03-1992,6898.1
01-04-1992,6917.1
01-05-1992,6955.2
01-06-1992,6986.2
01-07-1992,6976.8
01-08-1992,7003.4
01-09-1992,6968.8
01-10-1992,6928.5
01-11-1992,6959.5
01-12-1992,7244.4
01-01-1993,6994.2
01-02-1993,7033.5
01-03-1993,7006.3
01-04-1993,7071.8
01-05-1993,7074.8
01-06-1993,7056.2
01-07-1993,7075.8
01-08-1993,7088.1
01-09-1993,7068.4
01-10-1993,7040.3
01-11-1993,7061.3
01-12-1993,7336.4
01-01-1994,7159.5
01-02-1994,7168.4
01-03-1994,7191
01-04-1994,7265.6
01-05-1994,7286.5
01-06-1994,7276.7
01-07-1994,7294.5
01-08-1994,7303.2
01-09-1994,7337.9
01-10-1994,7396.9
01-11-1994,7393.1
01-12-1994,7423.9
01-01-1995,7444.8
01-02-1995,7460.6
01-03-1995,7477.9
01-04-1995,7490.4
01-05-1995,7490.5
01-06-1995,7524.7
01-07-1995,7549.4
01-08-1995,7564
01-09-1995,7599.5
01-10-1995,7623
01-11-1995,7655.9
01-12-1995,7664.8
01-01-1996,7673.1
01-02-1996,7739.7
01-03-1996,7762.5
01-04-1996,7776.4
01-05-1996,7816.2
01-06-1996,7874.4
01-07-1996,7866.1
01-08-1996,7900
01-09-1996,7930.8
01-10-1996,7937.3
01-11-1996,7966.5
01-12-1996,8001.6
01-01-1997,8035.8
01-02-1997,8073.7
01-03-1997,8112.3
01-04-1997,8125.4
01-05-1997,8169.7
01-06-1997,8201.6
01-07-1997,8242.6
01-08-1997,8295.7
01-09-1997,8323.8
01-10-1997,8374.6
01-11-1997,8441.2
01-12-1997,8493.1
01-01-1998,8575.7
01-02-1998,8638.7
01-03-1998,8693.7
01-04-1998,8731.5
01-05-1998,8778.6
01-06-1998,8832.4
01-07-1998,8855.9
01-08-1998,8894.5
01-09-1998,8924.8
01-10-1998,8944.2
01-11-1998,8987.6
01-12-1998,9007.4
01-01-1999,9034.3
01-02-1999,9076.3
01-03-1999,9082.4
01-04-1999,9066.9
01-05-1999,9088.6
01-06-1999,9123.1
01-07-1999,9150.3
01-08-1999,9192.3
01-09-1999,9189
01-10-1999,9250.3
01-11-1999,9324.7
01-12-1999,9407.6
01-01-2000,9498.6
01-02-2000,9541.8
01-03-2000,9573.1
01-04-2000,9620.5
